cb100,cb101,cb103,cb105,cb107,cb108,cb12,cb13,cb17,cb18,cb19,cb20,cb25,cb28,cb3,cb35,cb4,cb44,cb45,cb46,cb47,cb49,cb52,cb55,cb57,cb6,cb63,cb68,cb73,cb74,cb75,cb76,cb79,cb80,cb81,cb84,cb89,cb9,cb92,cb96,cb97,cb99,n10,n11,n13,n14,n17,n19,n20,n21,n22,n23,n24,n25,n26,n28,n29,n3,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n41,n42,n8,cb1,cb29,cb30,cb5,cb65,cb70,cb77,cb82,cb98,cb2,cb22,cb53,cb7,cb88,n40
4.0,1.0,1.0,2.0,5.0,5.0,2.0,4.0,2.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,1.0,2.0,5.0,,3.0,4.0,,,,,3.0,3.0,2.0,1.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,4.0,1.0,5.0,5.0
2.0,3.0,3.0,2.0,5.0,5.0,4.0,5.0,1.0,2.0,2.0,4.0,5.0,3.0,3.0,2.0,1.0,4.0,4.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,3.0,1.0,3.0,3.0,4.0,5.0,2.0,5.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,5.0,,3.0,1.0,,,,,2.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,5.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,1.0,2.0,4.0,1.0,5.0,3.0
3.0,1.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,,4.0,2.0,,,,,3.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,1.0,4.0,4.0
3.0,1.0,5.0,2.0,5.0,5.0,1.0,5.0,2.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,2.0,4.0,4.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,5.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,5.0,,3.0,4.0,,,,,2.0,4.0,1.0,3.0,5.0,5.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,2.0,3.0,4.0,1.0,5.0,4.0
3.0,1.0,5.0,1.0,1.0,3.0,1.0,4.0,2.0,5.0,2.0,2.0,4.0,4.0,5.0,1.0,2.0,3.0,2.0,1.0,3.0,5.0,2.0,2.0,5.0,3.0,3.0,4.0,3.0,1.0,3.0,4.0,5.0,5.0,3.0,1.0,5.0,1.0,5.0,3.0,3.0,5.0,1.0,3.0,1.0,1.0,3.0,5.0,,1.0,2.0,,,,,2.0,1.0,5.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0,5.0,2.0,5.0,3.0,4.0,5.0,2.0,1.0,5.0,3.0,1.0,5.0,3.0
3.0,1.0,5.0,2.0,5.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,5.0,5.0,5.0,1.0,1.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,1.0,5.0,4.0,2.0,5.0,2.0,3.0,2.0,1.0,2.0,5.0,,3.0,4.0,,,,,3.0,1.0,5.0,2.0,4.0,4.0,1.0,2.0,4.0,4.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,1.0,3.0,2.0,1.0,4.0,5.0,1.0,5.0,4.0
4.0,2.0,5.0,2.0,4.0,5.0,1.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0,2.0,5.0,3.0,2.0,2.0,5.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,1.0,5.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,,1.0,2.0,,,,,1.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,1.0,3.0,5.0,1.0,5.0,4.0
3.0,1.0,5.0,1.0,4.0,5.0,2.0,4.0,1.0,4.0,2.0,4.0,5.0,3.0,3.0,1.0,2.0,5.0,3.0,3.0,2.0,5.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,5.0,1.0,5.0,5.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,5.0,,1.0,2.0,,,,,1.0,1.0,3.0,1.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,5.0,3.0,5.0,4.0,5.0,3.0,2.0,1.0,4.0,5.0,1.0,5.0,3.0
2.0,1.0,4.0,2.0,5.0,5.0,3.0,4.0,2.0,4.0,1.0,4.0,5.0,2.0,5.0,1.0,2.0,4.0,4.0,3.0,2.0,5.0,4.0,2.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,5.0,3.0,5.0,3.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,5.0,,3.0,2.0,,,,,3.0,2.0,2.0,4.0,4.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,5.0,4.0,5.0,3.0,5.0,3.0,3.0,1.0,5.0,5.0,2.0,5.0,5.0
1.0,1.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,2.0,1.0,,,,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0
4.0,1.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,5.0,5.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,,3.0,1.0,,,,,3.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,4.0,4.0,5.0,5.0,2.0,2.0,3.0,4.0,1.0,4.0,4.0
1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
5.0,1.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,3.0,5.0,4.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,3.0,,3.0,1.0,,,,,3.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,5.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,4.0,4.0,5.0,5.0,1.0,2.0,4.0,4.0,1.0,3.0,4.0
5.0,1.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,2.0,4.0,3.0,2.0,3.0,5.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,1.0,5.0,4.0,5.0,2.0,4.0,1.0,5.0,3.0,3.0,3.0,,3.0,1.0,,,,,4.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,5.0,1.0,5.0,3.0,5.0,5.0,1.0,5.0,4.0,4.0,1.0,3.0,4.0
1.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,4.0,2.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,1.0,4.0,4.0,5.0,2.0,2.0,4.0,4.0,1.0,3.0,3.0,,1.0,2.0,,,,,4.0,1.0,1.0,3.0,5.0,5.0,2.0,1.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,1.0,5.0,4.0,4.0,1.0,4.0,5.0
1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0
3.0,1.0,3.0,2.0,2.0,3.0,1.0,4.0,1.0,3.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,4.0,4.0,5.0,3.0,1.0,2.0,2.0,3.0,4.0,1.0,5.0,5.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,1.0,2.0,,,,,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,3.0,5.0,2.0,4.0,2.0,3.0,1.0,1.0,3.0,5.0
1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0
4.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,3.0,4.0,5.0,2.0,1.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,3.0,1.0,5.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,5.0,,3.0,2.0,,,,,3.0,3.0,1.0,1.0,2.0,5.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,5.0,1.0,5.0,3.0,5.0,5.0,1.0,5.0,4.0,4.0,1.0,3.0,4.0
2.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
4.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,4.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,,1.0,1.0,,,,,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,5.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,4.0
4.0,1.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,2.0,5.0,4.0,2.0,5.0,2.0,4.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,3.0,3.0,5.0,4.0,4.0,3.0,,3.0,2.0,,,,,4.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,5.0,1.0,5.0,4.0,5.0,5.0,1.0,3.0,4.0,4.0,5.0,4.0,4.0
1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,2.0,4.0,4.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,,1.0,2.0,,,,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0
1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0
4.0,1.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,,4.0,2.0,,,,,5.0,1.0,1.0,1.0,3.0,5.0,3.0,2.0,4.0,1.0,2.0,4.0,5.0,2.0,5.0,2.0,3.0,3.0,5.0,1.0,5.0,4.0,5.0,5.0,1.0,3.0,4.0,4.0,1.0,4.0,3.0
1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
4.0,1.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,1.0,1.0,,,,,2.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,1.0,3.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
4.0,1.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,1.0,5.0,2.0,3.0,2.0,4.0,4.0,5.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,2.0,3.0,4.0,5.0,4.0,1.0,4.0,3.0,5.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,,2.0,2.0,,,,,3.0,2.0,1.0,1.0,3.0,5.0,2.0,1.0,5.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,1.0,3.0,4.0,2.0,1.0,4.0,4.0
1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
1.0,1.0,4.0,3.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
5.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,1.0,3.0,1.0,5.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,5.0,4.0,5.0,3.0,2.0,4.0,5.0,4.0,1.0,5.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,,2.0,2.0,,,,,3.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,5.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,5.0,5.0,4.0,1.0,3.0,4.0,4.0,1.0,4.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
5.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,2.0,4.0,5.0,3.0,3.0,1.0,5.0,5.0,5.0,3.0,2.0,5.0,3.0,3.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,1.0,5.0,5.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,,2.0,2.0,,,,,4.0,2.0,1.0,3.0,4.0,5.0,2.0,2.0,5.0,1.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,4.0,4.0,1.0,3.0,5.0
3.0,1.0,5.0,5.0,5.0,3.0,1.0,4.0,1.0,2.0,3.0,1.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,4.0,3.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,3.0,,,,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,4.0,3.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,4.0,5.0
4.0,1.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,1.0,1.0,,,,,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0
2.0,2.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
5.0,1.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,4.0,2.0,3.0,2.0,5.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,5.0,4.0,4.0,1.0,4.0,3.0,4.0,2.0,3.0,1.0,4.0,3.0,2.0,3.0,,2.0,3.0,,,,,3.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,5.0,2.0,5.0,3.0,5.0,5.0,1.0,5.0,3.0,2.0,1.0,4.0,4.0
